City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
103,hammerfest,70.6634,23.6821,0.25,74,40,8.23,NO,1704295457
104,taroa,8.7058,171.2275,27.53,78,30,9.28,MH,1704295457
105,avarua,-21.2078,-159.775,24.03,94,75,6.69,CK,1704295176
106,mili,6.0815,171.735,28.07,76,100,8.79,MH,1704295457
107,formosa,-26.1775,-58.1781,31.65,52,0,1.79,AR,1704295457
108,forster,-32.1667,152.5167,19.6,100,49,3.12,AU,1704295458
109,saipan,15.1355,145.701,27.39,83,20,5.14,MP,1704295458
110,digapahandi,19.3667,84.5833,18.56,74,0,1.35,IN,1704295458
111,tura,25.5198,90.2201,14.85,68,0,1.31,IN,1704295458
112,megion,61.0296,76.1136,-36.66,99,9,3.02,RU,1704294791
113,atafu village,-8.5421,-172.5159,28.66,75,99,4.77,TK,1704295458
114,rio grande,-32.035,-52.0986,26.06,80,46,8.7,BR,1704295458
115,hermanus,-34.4187,19.2345,23.22,67,15,8.38,ZA,1704295290
116,visby,57.6409,18.296,-4.88,68,75,10.8,SE,1704295458
117,shakawe,-18.3667,21.85,28.72,45,78,1.4,BW,1704295458
118,minas de marcona,-15.2119,-75.1103,20.72,68,75,3.92,PE,1704295458
119,woolgoolga,-30.1106,153.2007,22.8,89,83,3.93,AU,1704295459
120,bridgewater,44.3835,-64.5155,0.79,84,77,1.54,CA,1704295459
121,itoman,26.1247,127.6694,17.21,51,40,10.29,JP,1704295459
122,talnakh,69.4865,88.3972,-30.55,86,99,3.89,RU,1704295278
123,port blair,11.6667,92.75,27.02,74,20,3.6,IN,1704295459
124,badalona,41.45,2.2474,19.08,70,0,4.02,ES,1704295418
125,arroyo,41.6096,-4.7969,12.34,75,20,5.14,ES,1704295459
126,gadzhiyevo,69.2551,33.3362,-15.64,84,100,11.18,RU,1704295459
127,saynshand,44.8824,110.1163,-8.05,79,99,5.08,MN,1704295459
128,brezina,33.0989,1.2608,19.22,17,1,3.23,DZ,1704295459
129,taoudenni,22.6783,-3.9836,25.78,12,100,5.56,ML,1704295459
130,constantia,44.1833,28.65,8.38,76,100,7.44,RO,1704295258
131,salinopolis,-0.6136,-47.3561,28.06,78,67,3.75,BR,1704295460
132,pangody,65.85,74.4859,-24.44,94,85,6.41,RU,1704295460
133,fortuna,40.5982,-124.1573,7.77,97,100,3.6,US,1704295460
134,jamestown,42.097,-79.2353,-0.25,98,100,4.63,US,1704295460
135,ust-nera,64.5667,143.2,-39.46,98,93,1.98,RU,1704295460
136,albany,42.6001,-73.9662,2.24,79,60,0.89,US,1704295460
137,uturoa,-16.7333,-151.4333,27.67,77,100,9.25,PF,1704295460
138,malango,-2.9627,119.9001,20.42,97,96,0.75,ID,1704295460
139,port moresby,-9.4431,147.1797,24.68,94,20,2.57,PG,1704295460
140,revda,56.801,59.9303,-19.24,95,100,5.11,RU,1704295460
141,kailua-kona,19.6406,-155.9956,22.98,79,20,0.45,US,1704295461
142,lompoc,34.6391,-120.4579,11.4,86,100,5.81,US,1704295461
143,driffield,54.0049,-0.4387,9.06,91,100,1.54,GB,1704295461
144,mirzapur,25.15,82.5833,15.98,63,3,1.99,IN,1704295461
145,carora,10.1755,-70.0827,27.84,57,99,2.87,VE,1704295461
146,kamaishi,39.2667,141.8833,3.94,97,100,4.55,JP,1704295461
147,port alfred,-33.5906,26.891,21.47,88,99,7.26,ZA,1704295461
148,papao,-17.75,-149.55,26.82,83,100,10.34,PF,1704295461
149,calbuco,-41.768,-73.1273,16.56,78,96,3.85,CL,1704295461
150,pandan,14.0453,124.1694,26.27,85,45,3.88,PH,1704295461
151,jalai nur,49.45,117.7,-16.92,94,100,5.32,CN,1704295461
152,abepura,-2.6333,140.5833,25.45,94,20,0.51,ID,1704295462
153,ciudad bolivar,8.1222,-63.5497,31.91,44,72,4.91,VE,1704295462
154,kitaibaraki,36.7833,140.75,7.86,99,100,2.64,JP,1704295462
155,huambo,-12.7761,15.7392,19.58,69,100,2.0,AO,1704295462
156,rogatec,46.2294,15.7003,11.31,76,4,4.3,SI,1704295462
157,susuman,62.7833,148.1667,-37.23,100,100,0.45,RU,1704295248
158,wenchang,30.904,118.4887,5.42,73,0,1.62,CN,1704295443
159,burang,30.25,81.1667,-8.73,52,0,1.36,CN,1704295462
160,tostedt,53.2833,9.7167,8.79,86,82,8.42,DE,1704295462
161,sao jose da coroa grande,-8.8978,-35.1478,30.02,64,58,5.84,BR,1704295462
162,enewetak,11.3474,162.3373,27.37,77,88,10.06,MH,1704295462
163,vilyuchinsk,52.9306,158.4028,-12.85,77,45,3.54,RU,1704295463
164,khandyga,62.6667,135.6,-31.74,100,100,0.64,RU,1704295463
165,aqadyr,48.2553,72.8483,-11.34,83,15,2.89,KZ,1704295463
166,alness,57.696,-4.2551,7.87,95,100,2.34,GB,1704295463
167,huarmey,-10.0681,-78.1522,23.65,78,83,3.39,PE,1704295463
168,aasiaat,68.7098,-52.8699,-15.16,89,100,3.93,GL,1704295463
169,martapura,-3.4167,114.85,29.05,84,40,2.06,ID,1704295463
170,harper,4.375,-7.7169,29.68,65,69,3.81,LR,1704295463
171,chenzhou,25.8,113.0333,7.4,76,0,0.6,CN,1704295463
172,lagoa,39.05,-27.9833,16.2,84,100,9.33,PT,1704295463
173,namibe,-15.1961,12.1522,24.77,60,100,4.96,AO,1704295463
174,muynoq,43.7683,59.0214,3.76,61,100,6.04,UZ,1704295464
175,hotan,37.0997,79.9269,-0.2,39,100,1.46,CN,1704295464
176,cabo san lucas,22.8909,-109.9124,19.31,77,0,4.12,MX,1704295464
177,bulayevo,54.9056,70.4439,-21.49,97,100,2.81,KZ,1704295464
178,verona,45.4167,11.0333,10.17,81,51,2.06,IT,1704295325
179,cecina,43.3128,10.524,17.79,75,77,2.15,IT,1704295464
180,fale old settlement,-9.3852,-171.2468,28.7,77,100,5.47,TK,1704295464
181,yelizovo,53.1873,158.3805,-12.92,66,40,4.02,RU,1704295464
182,zag,46.9441,99.165,-24.2,84,1,2.27,MN,1704295464
183,anadyr,64.75,177.4833,-17.72,91,20,7.0,RU,1704295464
184,port mathurin,-19.6833,63.4167,28.02,79,100,4.28,MU,1704295324
185,labuan,5.2767,115.2417,27.2,94,40,1.03,MY,1704295465
186,iskateley,67.6803,53.1512,-8.86,91,100,7.83,RU,1704295213
187,pochinok,54.4068,32.4407,-15.71,91,17,5.14,RU,1704295465
188,pathein,16.7833,94.7333,20.05,86,43,2.74,MM,1704295465
189,remire-montjoly,4.9167,-52.2667,31.02,62,75,7.72,GF,1704295465
190,dinguiraye,11.3,-10.7167,34.46,9,97,1.86,GN,1704295465
191,kenai,60.5544,-151.2583,-2.14,74,20,9.77,US,1704295465
192,ugoofaaru,5.6667,73.0,28.16,76,38,4.37,MV,1704295465
193,sandnessjoen,66.0217,12.6316,-6.94,32,0,2.57,NO,1704295465
194,sola,-13.8833,167.55,26.48,82,100,3.54,VU,1704295465
195,kikwit,-5.041,18.8162,27.83,70,71,1.69,CD,1704295466
196,amuntai,-2.4177,115.2494,25.65,92,100,0.47,ID,1704295466
197,dudinka,69.4058,86.1778,-35.74,99,100,2.68,RU,1704295466
198,wailua homesteads,22.0669,-159.378,22.44,83,0,6.69,US,1704295466
199,nar'yan-mar,67.6713,53.087,-8.83,91,100,7.92,RU,1704295466
200,morshansk,53.4435,41.8107,-18.41,95,100,4.27,RU,1704295466
201,mata-utu,-13.2816,-176.1745,28.18,77,44,3.97,WF,1704295466
202,artova,40.1158,36.3001,7.21,67,100,3.51,TR,1704295466
203,mcalester,34.9334,-95.7697,2.05,87,40,0.0,US,1704295466
204,saldanha,-33.0117,17.9442,31.03,73,51,5.29,ZA,1704295466
205,klyuchi,52.2667,79.1667,-13.59,94,100,1.58,RU,1704295466
206,salekhard,66.53,66.6019,-14.71,84,100,7.98,RU,1704295467
207,macheng,31.1783,115.0319,5.83,61,5,1.46,CN,1704295467
208,colonia,50.9333,6.95,11.14,83,20,3.09,DE,1704295461
209,bantogon,6.5333,124.0333,26.81,79,46,1.51,PH,1704295467
210,lihue,21.9789,-159.3672,22.77,78,0,6.69,US,1704295467
